(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Zwischenergebnis;;;;;;;;;;;;;;;
Stand:;23.02.2025;21:50;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung;Gewählt
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Wahlberechtigte;-4;;8691068;;8788473;;-1,108327;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Wählende;-3;;7260376;83,538364;6861632;78,075361;5,811212;5,463003;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Ungültige;-2;1;50140;0,690598;67406;0,982361;-25,61493;-0,291763;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Ungültige;-2;2;35261;0,485664;51147;0,745406;-31,059495;-0,259742;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Gültige;-1;1;7210236;99,309402;6794226;99,017639;6,122993;0,291763;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Gültige;-1;2;7225115;99,514336;6810485;99,254594;6,088113;0,259742;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;SPD;1;1;1209266;16,771518;1559809;22,957862;-22,473457;-6,186344;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;SPD;1;2;1017931;14,088786;1558326;22,881278;-34,677917;-8,792492;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;CDU;2;1;1031420;14,304941;860406;12,663782;19,875966;1,641158;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;CDU;2;2;913374;12,641653;710782;10,436584;28,502691;2,205069;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;GRÜNE;3;1;665477;9,229615;773141;11,379383;-13,925532;-2,149768;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;GRÜNE;3;2;715148;9,898085;833174;12,233696;-14,165829;-2,335611;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;FDP;4;1;207717;2,880863;542573;7,985796;-61,716304;-5,104933;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;FDP;4;2;281419;3,895011;709128;10,412298;-60,314781;-6,517287;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;AfD;5;1;1556700;21,590139;707506;10,413342;120,026403;11,176797;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;AfD;5;2;1603485;22,193211;757158;11,117534;111,776802;11,075677;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;CSU;6;1;1614648;22,39383;1402357;20,640423;15,138157;1,753407;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;CSU;6;2;1472137;20,375274;1200390;17,625617;22,638226;2,749657;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Die Linke;7;1;388582;5,38931;229172;3,373041;69,559108;2,01627;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Die Linke;7;2;478257;6,619369;253085;3,716108;88,970899;2,90326;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;FREIE WÄHLER;8;1;346096;4,800065;405884;5,973955;-14,730317;-1,17389;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;FREIE WÄHLER;8;2;248367;3,437551;381426;5,60057;-34,884617;-2,163019;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Tierschutzpartei;9;1;16283;0,225832;10738;0,158046;51,639039;0,067786;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Tierschutzpartei;9;2;66702;0,923196;84770;1,244698;-21,314144;-0,321502;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;dieBasis;10;1;10025;0,139038;119431;1,757831;-91,606032;-1,618792;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;dieBasis;10;2;17442;0,241408;102193;1,500525;-82,932295;-1,259117;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Die PARTEI;11;1;4062;0,056337;54845;0,80723;-92,593673;-0,750893;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Die PARTEI;11;2;29138;0,403288;56566;0,830572;-48,488491;-0,427285;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Team Todenhöfer;12;1;;;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Team Todenhöfer;12;2;730;0,010104;18148;0,266471;-95,977518;-0,256368;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PIRATEN;13;1;;;8739;0,128624;;-0,128624;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PIRATEN;13;2;1665;0,023045;24292;0,356685;-93,145892;-0,333641;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Volt;14;1;47264;0,655513;4680;0,068882;909,91453;0,586631;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Volt;14;2;41965;0,580821;17826;0,261743;135,414563;0,319078;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;ÖDP;15;1;26509;0,367658;54557;0,802991;-51,410451;-0,435333;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;ÖDP;15;2;17704;0,245034;30457;0,447208;-41,872148;-0,202173;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;SSW;16;1;;;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;SSW;16;2;;;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Verjüngungsforschung;17;1;;;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Verjüngungsforschung;17;2;;;8293;0,121768;;-0,121768;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PdH;18;1;365;0,005062;774;0,011392;-52,842377;-0,00633;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PdH;18;2;4105;0,056816;6058;0,088951;-32,238362;-0,032135;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Bündnis C;19;1;;;576;0,008478;;-0,008478;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Bündnis C;19;2;;;5878;0,086308;;-0,086308;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BP;20;1;4509;0,062536;24919;0,366767;-81,905373;-0,304231;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BP;20;2;6767;0,093659;18144;0,266413;-62,703924;-0,172753;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MLPD;21;1;859;0,011914;1560;0,022961;-44,935897;-0,011047;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MLPD;21;2;2115;0,029273;1878;0,027575;12,619808;0,001698;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MENSCHLICHE WELT;22;1;;;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MENSCHLICHE WELT;22;2;;;821;0,012055;;-0,012055;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PdF;23;1;;;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PdF;23;2;950;0,013149;205;0,00301;363,414634;0,010139;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;SGP;24;1;;;;;;;;
